h2p,MIDI,type,comments,min,max
'OPT_RndE',x,d,mostly 0,0,1
'OPT_RndG',x,d,mostly 0,0,1
'OPT_RndP',x,d,mostly 0,0,1
'OPT_TPots',x,?,mostly 7,,
'OPT_TSlop',OPT: TuneSlop,c,,0,100
'OPT_TransM',x,?,mostly 0,,
'OPT_V1Mod',OPT: V1Mod,c,mostly 0,-100,100
'OPT_V1T1',x,c,,-100,100
'OPT_V1T2',x,c,,-100,100
'OPT_V1T3',x,c,,-100,100
'OPT_V2Mod',OPT: V2Mod,c,mostly 0,-100,100
'OPT_V2T1',x,c,,-100,100
'OPT_V2T2',x,c,,-100,100
'OPT_V2T3',x,c,,-100,100
'OPT_V3Mod',OPT: V3Mod,c,mostly 0,-100,100
'OPT_V3T1',x,c,,-100,100
'OPT_V3T2',x,c,,-100,100
'OPT_V3T3',x,c,,-100,100
'OPT_V4Mod',OPT: V4Mod,c,mostly 0,-100,100
'OPT_V4T1',x,c,,-100,100
'OPT_V4T2',x,c,,-100,100
'OPT_V4T3',x,c,,-100,100
'OPT_V5Mod',OPT: V5Mod,c,mostly 0,-100,100
'OPT_V5T1',x,c,,-100,100
'OPT_V5T2',x,c,,-100,100
'OPT_V5T3',x,c,,-100,100
'OPT_V6Mod',OPT: V6Mod,c,mostly 0,-100,100
'OPT_V6T1',x,c,,-100,100
'OPT_V6T2',x,c,,-100,100
'OPT_V6T3',x,c,,-100,100
'OPT_V7Mod',OPT: V7Mod,c,mostly 0,-100,100
'OPT_V7T1',x,c,,-100,100
'OPT_V7T2',x,c,,-100,100
'OPT_V7T3',x,c,,-100,100
'OPT_V8Mod',OPT: V8Mod,c,mostly 0,-100,100
'OPT_V8T1',x,c,,-100,100
'OPT_V8T2',x,c,,-100,100
'OPT_V8T3',x,c,,-100,100
'OSC_BpNoise',x,d,Bipolar Noise,0,1
'OSC_DNoAlia',OSC: DigitalAntiAlias,d,,0,1
'OSC_DgtlSp2',OSC: DigitalShape2,c,,0,100
'OSC_DgtlSp3',OSC: DigitalShape3,c,,0,100
'OSC_DgtlSp4',OSC: DigitalShape4,c,,0,100
'OSC_DgtlTp1',OSC: DigitalType1,d,,0,6
'OSC_DgtlTp2',OSC: DigitalType2,d,,0,6
'OSC_Drift',OSC: Drift,c,,0,200
'OSC_FM',OSC: FM,c,,0,100
'OSC_FmDpt',OSC: FmModDepth,c,,-100,100
'OSC_FmSrc',OSC: FmModSrc,d,,0,23
'OSC_JpSp1',x,,only 1,,
'OSC_JpSp2',x,,only 1,,
'OSC_Model',OSC: Model,d,,0,4
'OSC_NoisDpt',OSC: NoiseVolModDepth,c,,-100,100
'OSC_NoisSrc',OSC: NoiseVolModSrc,d,,0,23
'OSC_Noise',OSC: NoiseVol,c,,0,100
'OSC_Noise1',OSC: Noise1On,d,,0,1
'OSC_NoiseC',OSC: NoiseColor,d,,0,1
'OSC_OscMix',OSC: OscMix,c,,0,100
'OSC_PW',OSC: PulseWidth,c,,0,100
'OSC_PW2',OSC: Pulse2On,d,,0,1
'OSC_PWM1',OSC: Pwm1On,d,,0,1
'OSC_PWM2',OSC: PWM2On,d,,0,1
'OSC_PWMDpt',OSC: PWModDepth,c,,-50,50
'OSC_PWMSrc',OSC: PWModSrc,d,,0,23
'OSC_PWShp',OSC: PulseShape,d,,0,3
'OSC_RMPwm',OSC: RingmodPulse,d,,0,1
'OSC_RstPh1',x,,,,
'OSC_RstPh2',x,,,,
'OSC_RstPh3',x,,,,
'OSC_SM1On',OSC: ShapeModOsc1,d,,0,1
'OSC_SM2On',OSC: ShapeModOsc2,d,,0,1
'OSC_SM3On',OSC: ShapeModOsc3,d,,0,1
'OSC_Saw1',OSC: Saw1On,d,,0,1
'OSC_Saw2',OSC: Saw2On,d,,0,1
'OSC_SawShp',OSC: SawShape,d,,0,5
'OSC_Sh1Dpt',OSC: ShapeDepth,c,,-50,50
'OSC_Sh1Src',OSC: ShapeSrc,d,,0,23
'OSC_Shape1',OSC: Shape1,c,,1,9
'OSC_Shape2',OSC: Shape2,c,,1,9
'OSC_Shape3',OSC: Shape3,c,,1,9
'OSC_Sin2',OSC: Sine2On,d,,0,1
'OSC_SubShp',OSC: SuboscShape,d,,0,5
'OSC_Sync2',OSC: Sync2,d,,0,1
'OSC_Sync3',OSC: Sync3,d,,0,1
'OSC_TM1Dpt',OSC: Tune1ModDepth,c,,-24,24
'OSC_TM1On',OSC: TuneModOsc1,d,,0,1
'OSC_TM1Src',OSC: Tune1ModSrc,d,,0,23
'OSC_TM2Dpt',OSC: Tune2ModDepth,c,,-24,24
'OSC_TM2On',OSC: TuneModOsc2,d,,0,1
'OSC_TM2Src',OSC: Tune2ModSrc,d,,0,23
'OSC_TM3On',OSC: TuneModOsc3,d,,0,1
'OSC_TMmode',OSC: TuneModMode,d,,0,3
'OSC_Tri1',OSC: Triangle1On,d,,0,1
'OSC_Tri2',OSC: Triangle2On,d,,0,1
'OSC_Tune1',OSC: Tune1,c,,-30,30
'OSC_Tune2',OSC: Tune2,c,,-30,30
'OSC_Tune3',OSC: Tune3,c,,-30,30
'OSC_Vol1',OSC: Volume1,c,,0,100
'OSC_Vol2',OSC: Volume2,c,,0,100
'OSC_Vol3',OSC: Volume3,c,,0,100
'OSC_VtoD',OSC: Vibrato,c,,0,100
'OSC_Wave1',OSC: EcoWave1,d,,1,4
'OSC_Wave2',OSC: EcoWave2,d,,1,4
'OSC_triSp',OSC: ShapeModel,d,,0,2
'PCore_ChLay',,,,,
'PCore_CoreN',,,,,
'PCore_DFold',,,,,
'PCore_GFile',,,,,
'PCore_LED',PCore: LED Colour,c,,0,1
'PCore_MidiA',,,,,
'PCore_MidiP',,,,,
'PCore_PAGE',,,,,
'PCore_PFile',,,,,
'PCore_PFold',,,,,
'PCore_PSong',,,,,
'PCore_PagesOn',,,,,
'PCore_Rev',,,,,
'PCore_SBase',,,,,
'PCore_STrig',,,,,
'PCore_Slice',,,,,
'PCore_SurrO',,,,,
'PCore_Swing',,,,,
'PCore_UI_op',,,,,
'Phase1_Center',Phase1: Center,c,,0,100
'Phase1_Depth',Phase1: Depth,c,,0,100
'Phase1_FB',Phase1: Feedback,c,,0,100
'Phase1_Phase',Phase1: Phase,c,,0,100
'Phase1_Rate',Phase1: Rate,c,,0,100
'Phase1_Stereo',Phase1: Stereo,c,,-50,50
'Phase1_Sync',Phase1: Sync,d,,0,1
'Phase1_Type',Phase1: Type,d,,0,1
'Phase1_Wet',Phase1: Wet,c,,0,100
'Phase2_Center',Phase2: Center,c,,0,100
'Phase2_Depth',Phase2: Depth,c,,0,100
'Phase2_FB',Phase2: Feedback,c,,0,100
'Phase2_Phase',Phase2: Phase,c,,0,100
'Phase2_Rate',Phase2: Rate,c,,0,100
'Phase2_Stereo',Phase2: Stereo,c,,-50,50
'Phase2_Sync',Phase2: Sync,d,,0,1
'Phase2_Type',Phase2: Type,d,,0,1
'Phase2_Wet',Phase2: Wet,c,,0,100
'Plate1_Damp',Plate1: Damp,c,,0,100
'Plate1_Decay',Plate1: Decay,c,,0,100
'Plate1_Diff',Plate1: Diffusion,c,,0,100
'Plate1_Dry',Plate1: Dry,c,,0,100
'Plate1_Pre',Plate1: PreDelay,c,,0,250
'Plate1_Size',Plate1: Size,c,,0,200
'Plate1_Wet',Plate1: Wet,c,,0,100
'Plate2_Damp',Plate2: Damp,c,,0,100
'Plate2_Decay',Plate2: Decay,c,,0,100
'Plate2_Diff',Plate2: Diffusion,c,,0,100
'Plate2_Dry',Plate2: Dry,c,,0,100
'Plate2_Pre',Plate2: PreDelay,c,,0,250
'Plate2_Size',Plate2: Size,c,,0,200
'Plate2_Wet',Plate2: Wet,c,,0,100
'Rtary1_Bal',Rtary1: Balance,c,,0,100
'Rtary1_Cont',Rtary1: Controller,d,,0,3
'Rtary1_Drive',Rtary1: Drive,c,,0,100
'Rtary1_Fast',Rtary1: Fast,c,,0,100
'Rtary1_Mix',Rtary1: Mix,c,,0,100
'Rtary1_Mode',Rtary1: Mode,d,,0,2
'Rtary1_Out',Rtary1: Out,c,,-20,20
'Rtary1_RTime',Rtary1: RiseTime,c,,0,100
'Rtary1_Slow',Rtary1: Slow,c,,0,100
'Rtary1_Stereo',Rtary1: Stereo,c,,0,100
'Rtary2_Bal',Rtary2: Balance,c,,0,100
'Rtary2_Cont',Rtary2: Controller,d,,0,3
'Rtary2_Drive',Rtary2: Drive,c,,0,100
'Rtary2_Fast',Rtary2: Fast,c,,0,100
'Rtary2_Mix',Rtary2: Mix,c,,0,100
'Rtary2_Mode',Rtary2: Mode,d,,0,2
'Rtary2_Out',Rtary2: Out,c,,-20,20
'Rtary2_RTime',Rtary2: RiseTime,c,,0,100
'Rtary2_Slow',Rtary2: Slow,c,,0,100
'Rtary2_Stereo',Rtary2: Stereo,c,,0,100
'Scope1_Inp',x,,,,
'Scope1_Mod',x,,,,
'Scope1_Mode',x,,,,
'Scope1_cs1',x,,,,
'Scope1_cs2',x,,,,
'Scope1_frq',Scope1: Frequency,c,doudemoii,-8,8
'Scope1_pc',x,,,,
'Scope1_scl',Scope1: Scale,c,doudemoii,-5,5
'VCA1_ModDpt',VCA1: ModDepth,c,,-100,100
'VCA1_ModSrc',VCA1: Modulation,d,,0,23
'VCA1_Mode',VCA1: Mode,?,only 0,,
'VCA1_Offset',VCA1: Offset,?,only -0.12,-0.12,-0.12
'VCA1_Pan',VCA1: Pan,c,,-100,100
'VCA1_PanDpt',VCA1: PanModDepth,c,,-100,100
'VCA1_PanSrc',VCA1: PanModulation,d,,0,23
'VCA1_VCA',VCA1: VCA,d,,0,1
'VCA1_Vol',VCA1: Volume,c,,0,100
'VCC_ContEn',x,,only 1,,
'VCC_Drft',x,,mostly 0,,
'VCC_FTun',VCC: FineTuneCents,c,,-100,100
'VCC_MTunN',x,,,0,0
'VCC_MTunS',x,,,5,5
'VCC_MTunT',x,,,6,6
'VCC_Mode',VCC: Mode,d,,0,4
'VCC_PB',VCC: PitchBend Up,d,,-2000,"[0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,36,48]"
'VCC_PBD',VCC: PitchBend Down,d,,-2000,"[0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,36,48]"
'VCC_PRange',VCC: GlideRange,c,,0,100
'VCC_Porta',VCC: Glide,c,,0,100
'VCC_Porta2',VCC: Glide2,c,,-100,100
'VCC_PortaM',VCC: GlideMode,d,,0,1
'VCC_Prior',VCC: Note Priority,d,,0,2
'VCC_Trsp',VCC: Transpose,d,,-24,24
'VCC_Vc1',x,,mostly 0,,
'VCC_Vc2',x,,mostly 0,,
'VCC_Vc3',x,,mostly 0,,
'VCC_Vc4',x,,mostly 0,,
'VCC_Vc5',x,,mostly 0,,
'VCC_Vc6',x,,mostly 0,,
'VCC_Vc7',x,,mostly 0,,
'VCC_Vc8',x,,mostly 0,,
'VCC_Voices',VCC: Voices,d,Errors with wrong values,-2000,"[2,3,4,5,6,8,12,16]"
'VCC_Voicing',VCC: Voice Stack,d,,1,6
'VCC_rMW',x,,only 0,,
'VCC_rPW',x,,only 0,,
'VCF1_BpUbie',VCF1: UhbieBandpass,d,,0,1
'VCF1_FFM',VCF1: FilterFM,c,,-24,24
'VCF1_FM2Dpt',VCF1: FreqMod2Depth,c,,-120,120
